ltl ltl_0: [] ((! (((statusA==1)) && ((statusB==1)))) || (((partnerA==agentB)) && ((partnerB==agentA))))
starting claim 3
Never claim moves to line 4	[(1)]
 32:	proc  2 (Intruder:1) needham-starter.txt:132 (state 11)	[knows_nonceB = ((knows_nonceB||(data.content1==nonceB))||(data.content2==nonceB))]
		knows_nonceB = 1
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceI
		Intruder(3):intercepted.content2 = nonceB
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceI
		Intruder(3):data.content2 = nonceB
 34:	proc  2 (Intruder:1) needham-starter.txt:141 (state 18)	[tag = msg3]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceI
		Intruder(3):intercepted.content2 = nonceB
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceI
		Intruder(3):data.content2 = nonceB
		Intruder(2):tag = msg3
 36:	proc  2 (Intruder:1) needham-starter.txt:145 (state 22)	[recpt = agentB]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceI
		Intruder(3):intercepted.content2 = nonceB
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceI
		Intruder(3):data.content2 = nonceB
		Intruder(2):recpt = agentB
 38:	proc  2 (Intruder:1) needham-starter.txt:151 (state 30)	[data.key = keyB]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceI
		Intruder(3):intercepted.content2 = nonceB
		Intruder(3):data.key = keyB
		Intruder(3):data.content1 = nonceI
		Intruder(3):data.content2 = nonceB
 40:	proc  2 (Intruder:1) needham-starter.txt:158 (state 38)	[(knows_nonceB)]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceI
		Intruder(3):intercepted.content2 = nonceB
		Intruder(3):data.key = keyB
		Intruder(3):data.content1 = nonceI
		Intruder(3):data.content2 = nonceB
 42:	proc  2 (Intruder:1) needham-starter.txt:158 (state 39)	[data.content1 = nonceB]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceI
		Intruder(3):intercepted.content2 = nonceB
		Intruder(3):data.key = keyB
		Intruder(3):data.content1 = nonceB
		Intruder(3):data.content2 = nonceB
 44:	proc  2 (Intruder:1) needham-starter.txt:163 (state 45)	[(knows_nonceB)]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceI
		Intruder(3):intercepted.content2 = nonceB
		Intruder(3):data.key = keyB
		Intruder(3):data.content1 = nonceB
		Intruder(3):data.content2 = nonceB
 46:	proc  2 (Intruder:1) needham-starter.txt:163 (state 46)	[data.content2 = nonceB]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceI
		Intruder(3):intercepted.content2 = nonceB
		Intruder(3):data.key = keyB
		Intruder(3):data.content1 = nonceB
		Intruder(3):data.content2 = nonceB
 48:	proc  2 (Intruder:1) needham-starter.txt:168 (state 52)	[network!tag,recpt,data.key,data.content1,data.content2]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceI
		Intruder(3):intercepted.content2 = nonceB
		Intruder(3):data.key = keyB
		Intruder(3):data.content1 = nonceB
		Intruder(3):data.content2 = nonceB
 49:	proc  1 (Bob:1) needham-starter.txt:98 (state 15)	[network?msg3,agentB,data.key,data.content1,data.content2]
		Bob(2):data.key = keyB
		Bob(2):data.content1 = nonceB
		Bob(2):data.content2 = nonceB
		Bob(2):message.key = keyI
		Bob(2):message.content1 = nonceI
		Bob(2):message.content2 = nonceB
 51:	proc  1 (Bob:1) needham-starter.txt:99 (state 16)	[(((data.key==keyB)&&(data.content1==nonceB)))]
		Bob(2):data.key = keyB
		Bob(2):data.content1 = nonceB
		Bob(2):data.content2 = nonceB
		Bob(2):message.key = keyI
		Bob(2):message.content1 = nonceI
		Bob(2):message.content2 = nonceB
 53:	proc  1 (Bob:1) needham-starter.txt:101 (state 17)	[statusB = 1]
		statusB = 1
		Bob(2):data.key = keyB
		Bob(2):data.content1 = nonceB
		Bob(2):data.content2 = nonceB
		Bob(2):message.key = keyI
		Bob(2):message.content1 = nonceI
		Bob(2):message.content2 = nonceB
 55:	proc  0 (Alice:1) needham-starter.txt:45 (state 3)	[partnerA = agentI]
		partnerA = agentI
		Alice(1):data.key = 0
		Alice(1):data.content1 = 0
		Alice(1):data.content2 = 0
		Alice(1):message.key = 0
		Alice(1):message.content1 = 0
		Alice(1):message.content2 = 0
 57:	proc  0 (Alice:1) needham-starter.txt:45 (state 4)	[pkey = keyI]
		Alice(1):data.key = 0
		Alice(1):data.content1 = 0
		Alice(1):data.content2 = 0
		Alice(1):message.key = 0
		Alice(1):message.content1 = 0
		Alice(1):message.content2 = 0
		Alice(0):pkey = keyI
 59:	proc  0 (Alice:1) needham-starter.txt:22 (state 7)	[message.key = pkey]
		Alice(1):data.key = 0
		Alice(1):data.content1 = 0
		Alice(1):data.content2 = 0
		Alice(1):message.key = keyI
		Alice(1):message.content1 = 0
		Alice(1):message.content2 = 0
 59:	proc  0 (Alice:1) needham-starter.txt:23 (state 8)	[message.content1 = 6]
		Alice(1):data.key = 0
		Alice(1):data.content1 = 0
		Alice(1):data.content2 = 0
		Alice(1):message.key = keyI
		Alice(1):message.content1 = agentA
		Alice(1):message.content2 = 0
 59:	proc  0 (Alice:1) needham-starter.txt:24 (state 9)	[message.content2 = 3]
		Alice(1):data.key = 0
		Alice(1):data.content1 = 0
		Alice(1):data.content2 = 0
		Alice(1):message.key = keyI
		Alice(1):message.content1 = agentA
		Alice(1):message.content2 = nonceA
 61:	proc  0 (Alice:1) needham-starter.txt:50 (state 11)	[network!msg1,partnerA,message.key,message.content1,message.content2]
		Alice(1):data.key = 0
		Alice(1):data.content1 = 0
		Alice(1):data.content2 = 0
		Alice(1):message.key = keyI
		Alice(1):message.content1 = agentA
		Alice(1):message.content2 = nonceA
 62:	proc  2 (Intruder:1) needham-starter.txt:122 (state 1)	[network?tag,_,data.key,data.content1,data.content2]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceI
		Intruder(3):intercepted.content2 = nonceB
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = agentA
		Intruder(3):data.content2 = nonceA
		Intruder(2):tag = msg1
 64:	proc  2 (Intruder:1) needham-starter.txt:111 (state 2)	[intercepted.key = data.key]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceI
		Intruder(3):intercepted.content2 = nonceB
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = agentA
		Intruder(3):data.content2 = nonceA
 64:	proc  2 (Intruder:1) needham-starter.txt:112 (state 3)	[intercepted.content1 = data.content1]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = agentA
		Intruder(3):intercepted.content2 = nonceB
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = agentA
		Intruder(3):data.content2 = nonceA
 64:	proc  2 (Intruder:1) needham-starter.txt:113 (state 4)	[intercepted.content2 = data.content2]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = agentA
		Intruder(3):intercepted.content2 = nonceA
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = agentA
		Intruder(3):data.content2 = nonceA
 66:	proc  2 (Intruder:1) needham-starter.txt:128 (state 9)	[((data.key==keyI))]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = agentA
		Intruder(3):intercepted.content2 = nonceA
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = agentA
		Intruder(3):data.content2 = nonceA
 68:	proc  2 (Intruder:1) needham-starter.txt:129 (state 10)	[knows_nonceA = ((knows_nonceA||(data.content1==nonceA))||(data.content2==nonceA))]
		knows_nonceA = 1
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = agentA
		Intruder(3):intercepted.content2 = nonceA
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = agentA
		Intruder(3):data.content2 = nonceA
 70:	proc  2 (Intruder:1) needham-starter.txt:132 (state 11)	[knows_nonceB = ((knows_nonceB||(data.content1==nonceB))||(data.content2==nonceB))]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = agentA
		Intruder(3):intercepted.content2 = nonceA
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = agentA
		Intruder(3):data.content2 = nonceA
 72:	proc  2 (Intruder:1) needham-starter.txt:140 (state 17)	[tag = msg2]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = agentA
		Intruder(3):intercepted.content2 = nonceA
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = agentA
		Intruder(3):data.content2 = nonceA
		Intruder(2):tag = msg2
 74:	proc  2 (Intruder:1) needham-starter.txt:144 (state 21)	[recpt = agentA]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = agentA
		Intruder(3):intercepted.content2 = nonceA
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = agentA
		Intruder(3):data.content2 = nonceA
		Intruder(2):recpt = agentA
 76:	proc  2 (Intruder:1) needham-starter.txt:150 (state 29)	[data.key = keyA]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = agentA
		Intruder(3):intercepted.content2 = nonceA
		Intruder(3):data.key = keyA
		Intruder(3):data.content1 = agentA
		Intruder(3):data.content2 = nonceA
 78:	proc  2 (Intruder:1) needham-starter.txt:157 (state 36)	[(knows_nonceA)]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = agentA
		Intruder(3):intercepted.content2 = nonceA
		Intruder(3):data.key = keyA
		Intruder(3):data.content1 = agentA
		Intruder(3):data.content2 = nonceA
 80:	proc  2 (Intruder:1) needham-starter.txt:157 (state 37)	[data.content1 = nonceA]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = agentA
		Intruder(3):intercepted.content2 = nonceA
		Intruder(3):data.key = keyA
		Intruder(3):data.content1 = nonceA
		Intruder(3):data.content2 = nonceA
 82:	proc  2 (Intruder:1) needham-starter.txt:162 (state 43)	[(knows_nonceA)]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = agentA
		Intruder(3):intercepted.content2 = nonceA
		Intruder(3):data.key = keyA
		Intruder(3):data.content1 = nonceA
		Intruder(3):data.content2 = nonceA
 84:	proc  2 (Intruder:1) needham-starter.txt:162 (state 44)	[data.content2 = nonceA]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = agentA
		Intruder(3):intercepted.content2 = nonceA
		Intruder(3):data.key = keyA
		Intruder(3):data.content1 = nonceA
		Intruder(3):data.content2 = nonceA
 86:	proc  2 (Intruder:1) needham-starter.txt:168 (state 52)	[network!tag,recpt,data.key,data.content1,data.content2]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = agentA
		Intruder(3):intercepted.content2 = nonceA
		Intruder(3):data.key = keyA
		Intruder(3):data.content1 = nonceA
		Intruder(3):data.content2 = nonceA
 87:	proc  0 (Alice:1) needham-starter.txt:53 (state 12)	[network?msg2,agentA,data.key,data.content1,data.content2]
		Alice(1):data.key = keyA
		Alice(1):data.content1 = nonceA
		Alice(1):data.content2 = nonceA
		Alice(1):message.key = keyI
		Alice(1):message.content1 = agentA
		Alice(1):message.content2 = nonceA
 89:	proc  0 (Alice:1) needham-starter.txt:57 (state 13)	[(((data.key==keyA)&&(data.content1==nonceA)))]
		Alice(1):data.key = keyA
		Alice(1):data.content1 = nonceA
		Alice(1):data.content2 = nonceA
		Alice(1):message.key = keyI
		Alice(1):message.content1 = agentA
		Alice(1):message.content2 = nonceA
 89:	proc  0 (Alice:1) needham-starter.txt:60 (state 14)	[pnonce = data.content2]
		Alice(1):data.key = keyA
		Alice(1):data.content1 = nonceA
		Alice(1):data.content2 = nonceA
		Alice(1):message.key = keyI
		Alice(1):message.content1 = agentA
		Alice(1):message.content2 = nonceA
		Alice(0):pnonce = nonceA
 91:	proc  0 (Alice:1) needham-starter.txt:22 (state 15)	[message.key = pkey]
		Alice(1):data.key = keyA
		Alice(1):data.content1 = nonceA
		Alice(1):data.content2 = nonceA
		Alice(1):message.key = keyI
		Alice(1):message.content1 = agentA
		Alice(1):message.content2 = nonceA
 91:	proc  0 (Alice:1) needham-starter.txt:23 (state 16)	[message.content1 = pnonce]
		Alice(1):data.key = keyA
		Alice(1):data.content1 = nonceA
		Alice(1):data.content2 = nonceA
		Alice(1):message.key = keyI
		Alice(1):message.content1 = nonceA
		Alice(1):message.content2 = nonceA
 91:	proc  0 (Alice:1) needham-starter.txt:24 (state 17)	[message.content2 = 0]
		Alice(1):data.key = keyA
		Alice(1):data.content1 = nonceA
		Alice(1):data.content2 = nonceA
		Alice(1):message.key = keyI
		Alice(1):message.content1 = nonceA
		Alice(1):message.content2 = 0
 93:	proc  0 (Alice:1) needham-starter.txt:64 (state 19)	[network!msg3,partnerA,message.key,message.content1,message.content2]
		Alice(1):data.key = keyA
		Alice(1):data.content1 = nonceA
		Alice(1):data.content2 = nonceA
		Alice(1):message.key = keyI
		Alice(1):message.content1 = nonceA
		Alice(1):message.content2 = 0
 94:	proc  2 (Intruder:1) needham-starter.txt:122 (state 1)	[network?tag,_,data.key,data.content1,data.content2]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = agentA
		Intruder(3):intercepted.content2 = nonceA
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceA
		Intruder(3):data.content2 = 0
		Intruder(2):tag = msg3
 96:	proc  2 (Intruder:1) needham-starter.txt:111 (state 2)	[intercepted.key = data.key]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = agentA
		Intruder(3):intercepted.content2 = nonceA
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceA
		Intruder(3):data.content2 = 0
 96:	proc  2 (Intruder:1) needham-starter.txt:112 (state 3)	[intercepted.content1 = data.content1]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceA
		Intruder(3):intercepted.content2 = nonceA
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceA
		Intruder(3):data.content2 = 0
 96:	proc  2 (Intruder:1) needham-starter.txt:113 (state 4)	[intercepted.content2 = data.content2]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceA
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceA
		Intruder(3):data.content2 = 0
 98:	proc  2 (Intruder:1) needham-starter.txt:128 (state 9)	[((data.key==keyI))]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceA
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceA
		Intruder(3):data.content2 = 0
100:	proc  2 (Intruder:1) needham-starter.txt:129 (state 10)	[knows_nonceA = ((knows_nonceA||(data.content1==nonceA))||(data.content2==nonceA))]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceA
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceA
		Intruder(3):data.content2 = 0
102:	proc  2 (Intruder:1) needham-starter.txt:132 (state 11)	[knows_nonceB = ((knows_nonceB||(data.content1==nonceB))||(data.content2==nonceB))]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceA
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceA
		Intruder(3):data.content2 = 0
104:	proc  2 (Intruder:1) needham-starter.txt:139 (state 16)	[tag = msg1]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceA
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceA
		Intruder(3):data.content2 = 0
		Intruder(2):tag = msg1
106:	proc  2 (Intruder:1) needham-starter.txt:144 (state 21)	[recpt = agentA]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceA
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceA
		Intruder(3):data.content2 = 0
		Intruder(2):recpt = agentA
108:	proc  2 (Intruder:1) needham-starter.txt:111 (state 25)	[data.key = intercepted.key]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceA
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceA
		Intruder(3):data.content2 = 0
108:	proc  2 (Intruder:1) needham-starter.txt:112 (state 26)	[data.content1 = intercepted.content1]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceA
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceA
		Intruder(3):data.content2 = 0
108:	proc  2 (Intruder:1) needham-starter.txt:113 (state 27)	[data.content2 = intercepted.content2]
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceA
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceA
		Intruder(3):data.content2 = 0
110:	proc  0 (Alice:1) needham-starter.txt:66 (state 20)	[statusA = 1]
		statusA = 1
		Alice(1):data.key = keyA
		Alice(1):data.content1 = nonceA
		Alice(1):data.content2 = nonceA
		Alice(1):message.key = keyI
		Alice(1):message.content1 = nonceA
		Alice(1):message.content2 = 0
spin: _spin_nvr.tmp:3, Error: assertion violated
spin: text of failed assertion: assert(!(!((!(((statusA==1)&&(statusB==1)))||((partnerA==agentB)&&(partnerB==agentA))))))
Never claim moves to line 3	[assert(!(!((!(((statusA==1)&&(statusB==1)))||((partnerA==agentB)&&(partnerB==agentA))))))]
spin: trail ends after 111 steps
#processes: 3
		partnerA = agentI
		partnerB = agentI
		statusA = 1
		statusB = 1
		knows_nonceA = 1
		knows_nonceB = 1
111:	proc  2 (Intruder:1) needham-starter.txt:168 (state 52)
		Intruder(3):intercepted.key = keyI
		Intruder(3):intercepted.content1 = nonceA
		Intruder(3):intercepted.content2 = 0
		Intruder(3):data.key = keyI
		Intruder(3):data.content1 = nonceA
		Intruder(3):data.content2 = 0
		Intruder(2):recpt = agentA
		Intruder(2):tag = msg1
111:	proc  1 (Bob:1) needham-starter.txt:102 (state 18) <valid end state>
		Bob(2):data.key = keyB
		Bob(2):data.content1 = nonceB
		Bob(2):data.content2 = nonceB
		Bob(2):message.key = keyI
		Bob(2):message.content1 = nonceI
		Bob(2):message.content2 = nonceB
		Bob(1):pnonce = nonceI
		Bob(1):pkey = keyI
111:	proc  0 (Alice:1) needham-starter.txt:67 (state 21) <valid end state>
		Alice(1):data.key = keyA
		Alice(1):data.content1 = nonceA
		Alice(1):data.content2 = nonceA
		Alice(1):message.key = keyI
		Alice(1):message.content1 = nonceA
		Alice(1):message.content2 = 0
		Alice(0):pnonce = nonceA
		Alice(0):pkey = keyI
111:	proc  - (ltl_0:1) _spin_nvr.tmp:2 (state 6)
3 processes created
